id,name,year,release_date,director,creator,actors,full_cast,language,country,duration,rating_value,rating_count,review_count,genre,filming_locations,description
tt3040412,In the Name of God,2013,1 November 2013 (USA),Kevan Otto,"Kevan Otto,Kevan Otto","Patrick Davis,John Ratzenberger,Robyn Lively","Patrick Davis,John Ratzenberger,Robyn Lively,Pete Freeland,Marshal Hilton,Jeannette Grout,Eric Roberts,Norma Burgess,Celestine,Susan Chambers,Shayne Collins,John Ferraro,Mickey Gooch Jr.,Dana Lee,Akeem Mair",English,USA,86 min,6.1,54,"3 user,2 critic",Family,"Los Angeles, California, USA","Bouncing from foster home to home, it seemed that no one wanted Mason around. From battles with his parents, Mason learns the importance of respect. Desperate for forgiveness, Mason tries to make amends with his family."
tt0119177,Gattaca,1997,24 October 1997 (USA),Andrew Niccol,Andrew Niccol,"Ethan Hawke,Uma Thurman,Jude Law","Ethan Hawke,Uma Thurman,Gore Vidal,Xander Berkeley,Jayne Brook,Elias Koteas,Maya Rudolph,Una Damon,Elizabeth Dennehy,Blair Underwood,Mason Gamble,Vincent Nielson,Chad Christ,William Lee Scott,Clarence Graham","English,Esperanto",USA,106 min,7.8,"202,930","619 user,175 critic","Drama,Sci-Fi,Thriller","Sepulveda Dam, Encino, Los Angeles, California, USA",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
tt0119081,Event Horizon,1997,15 August 1997 (USA),Paul W.S. Anderson,Philip Eisner,"Laurence Fishburne,Sam Neill,Kathleen Quinlan","Laurence Fishburne,Sam Neill,Kathleen Quinlan,Joely Richardson,Richard T. Jones,Jack Noseworthy,Jason Isaacs,Sean Pertwee,Peter Marinker,Holley Chant,Barclay Wright,Noah Huntley,Robert Jezek","English,Latin","UK,USA",96 min,6.7,"110,181","844 user,169 critic","Horror,Sci-Fi","Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.
tt0448134,Sunshine,2007,27 July 2007 (USA),Danny Boyle,Alex Garland,"Cillian Murphy,Rose Byrne,Chris Evans","Cillian Murphy,Michelle Yeoh,Troy Garity,Rose Byrne,Hiroyuki Sanada,Benedict Wong,Chris Evans,Cliff Curtis,Mark Strong,Paloma Baeza,Archie Macdonald,Sylvie Macdonald,Chipo Chung",English,"UK,USA",107 min,7.3,"177,047","787 user,302 critic","Adventure,Sci-Fi,Thriller","Hakberget, Gärdet, Stockholm, Stockholms län, Sweden",A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
tt0082427,The Funhouse,1981,13 March 1981 (USA),Tobe Hooper,Lawrence Block,"Elizabeth Berridge,Shawn Carson,Jeanne Austin","Elizabeth Berridge,Shawn Carson,Jeanne Austin,Jack McDermott,Cooper Huckabee,Largo Woodruff,Miles Chapin,David Carson,Sonia Zomina,Ralph Morino,Kevin Conway,Herb Robins,Mona Agar,Wayne Doba,William Finley",English,USA,96 min,5.9,"8,118","138 user,118 critic",Horror,"North Miami, Florida, USA",Four teenage friends spend the night in a carnival funhouse and are stalked by a deformed man in a Frankenstein mask.
tt0092076,The Texas Chainsaw Massacre 2,1986,22 August 1986 (USA),Tobe Hooper,"L.M. Kit Carson,Tobe Hooper","Dennis Hopper,Caroline Williams,Jim Siedow","Dennis Hopper,Caroline Williams,Jim Siedow,Bill Moseley,Bill Johnson,Ken Evert,Harlan Jordan,Kirk Sisco,James N. Harrell,Lou Perryman,Barry Kinyon,Chris Douridas,Judy Kelly,John Martin Ivey,Kinky Friedman",English,USA,101 min,5.5,"17,835","255 user,139 critic","Comedy,Horror","Loop 150, Bastrop, Texas, USA",A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.
tt0089907,The Return of the Living Dead,1985,16 August 1985 (USA),Dan O'Bannon,"Rudy Ricci,John A. Russo","Clu Gulager,James Karen,Don Calfa","Clu Gulager,James Karen,Don Calfa,Thom Mathews,Beverly Randolph,John Philbin,Jewel Shepard,Miguel A. Núñez Jr.,Brian Peck,Linnea Quigley,Mark Venturini,Jonathan Terry,Cathleen Cordell,Drew Deighan,James Dalesandro",English,USA,91 min,7.3,"36,770","293 user,181 critic","Comedy,Horror","Louisville, Kentucky, USA","When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies."
tt0091276,Invaders from Mars,1986,6 June 1986 (USA),Tobe Hooper,"Richard Blake,Dan O'Bannon","Karen Black,Hunter Carson,Timothy Bottoms","Karen Black,Hunter Carson,Timothy Bottoms,Laraine Newman,James Karen,Bud Cort,Louise Fletcher,Eric Pierpoint,Christopher Allport,Donald Hotton,Kenneth Kimmins,Charlie Dell,Jimmy Hunt,William Bassett,Virginya Keehne",English,USA,100 min,5.5,"4,813","62 user,49 critic","Horror,Sci-Fi","Administration Building, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA","In this remake of the classic 50s SF tale, a boy tries to stop an invasion of his town by aliens who take over the the minds of his parents, his least-liked schoolteacher and other ..."
tt0108350,Night Terrors,1993,27 August 1996 (USA),Tobe Hooper,"Rom Globus,Daniel Matmor","Robert Englund,Zoe Trilling,Alona Kimhi","Robert Englund,Zoe Trilling,Alona Kimhi,Juliano Mer-Khamis,Chandra West,William Finley,Irit Sheleg,Niv Cohen,Doron Barbi,David Menachem,Jonathan Cherchi,Howard Rypp,Zachi Noy,Ya'ackov Banai,Joel Drori",English,"Canada,Egypt,USA",98 min,3.1,862,"18 user,11 critic",Horror,"Jaffa, Israel","A young girl travels to Cairo to visit her father, and becomes unwillingly involved with a bizarre sadomasochistic cult led by the charismatic Paul Chevalier, who is a descendant of the ..."
tt0094761,The Blob,1988,5 August 1988 (USA),Chuck Russell,"Theodore Simonson,Kay Linaker","Shawnee Smith,Kevin Dillon,Donovan Leitch Jr.","Kevin Dillon,Shawnee Smith,Donovan Leitch Jr.,Jeffrey DeMunn,Candy Clark,Joe Seneca,Del Close,Paul McCrane,Sharon Spelman,Beau Billingslea,Art LaFleur,Ricky Paull Goldin,Robert Axelrod,Bill Moseley,Frank Collison",English,USA,95 min,6.4,"21,349","146 user,119 critic","Horror,Sci-Fi","Abbeville, Louisiana, USA",A strange lifeform consumes everything in its path as it grows and grows.
tt0093605,Near Dark,1987,2 October 1987 (USA),Kathryn Bigelow,"Kathryn Bigelow,Eric Red","Adrian Pasdar,Jenny Wright,Lance Henriksen","Adrian Pasdar,Jenny Wright,Lance Henriksen,Bill Paxton,Jenette Goldstein,Tim Thomerson,Joshua John Miller,Marcie Leeds,Kenny Call,Ed Corbett,Troy Evans,Bill Cross,Roger Aaron Brown,Thomas Wagner,Robert Winley",English,USA,94 min,7.0,"24,013","202 user,155 critic","Drama,Horror,Thriller","Casa Grande, Arizona, USA",A small-town farmer's son reluctantly joins a traveling group of vampires after he is turned by a beautiful drifter.
