column_name,row_index,violated_rule
beer_name,0,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,1,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,2,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,3,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,4,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,5,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,6,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,7,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,8,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,9,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,10,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,11,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,12,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,13,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,14,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,15,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,16,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,17,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,18,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,19,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,20,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,21,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,22,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,23,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,24,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,25,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,26,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,27,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,28,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,29,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,30,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,31,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,32,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,33,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,34,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,35,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,36,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,37,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,38,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,39,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,40,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,41,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,42,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,43,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,44,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,45,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,46,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,47,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,48,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,49,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,50,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,51,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,52,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,53,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,54,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,55,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,56,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,57,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,58,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,59,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,60,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,61,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,62,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,63,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,64,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,65,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,66,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,67,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,68,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,69,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,70,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,71,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,72,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,73,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,74,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,75,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,76,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,77,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,78,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,79,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,80,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,81,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,82,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,83,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,84,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,85,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,86,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,87,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,88,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,89,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,90,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,91,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,92,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,93,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,94,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,95,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,96,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,97,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,98,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,99,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,100,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,101,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,102,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,103,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,104,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,105,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,106,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,107,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,108,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,109,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,110,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,111,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,112,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,113,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,114,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,115,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,116,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,117,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,118,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,119,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,120,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,121,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,122,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,123,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,124,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,125,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,126,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,127,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,128,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,129,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
beer_name,130,NUMERIC FIELD with FORMAT (Use regex or pattern validation)
